NM_MUNICIPIO,voto_valido_municipio,UF,Eleicao
ACRELÂNDIA,7260,Acre,2018
ASSIS BRASIL,4592,Acre,2018
BRASILÉIA,13435,Acre,2018
BUJARI,6993,Acre,2018
CAPIXABA,5851,Acre,2018
CRUZEIRO DO SUL,45577,Acre,2018
EPITACIOLÂNDIA,9243,Acre,2018
FEIJÓ,14573,Acre,2018
JORDÃO,3581,Acre,2018
MANOEL URBANO,4926,Acre,2018
MARECHAL THAUMATURGO,7061,Acre,2018
MÂNCIO LIMA,9748,Acre,2018
PLÁCIDO DE CASTRO,9911,Acre,2018
PORTO ACRE,10409,Acre,2018
PORTO WALTER,4649,Acre,2018
RIO BRANCO,211844,Acre,2018
RODRIGUES ALVES,8528,Acre,2018
SANTA ROSA DO PURUS,2342,Acre,2018
SENA MADUREIRA,20533,Acre,2018
SENADOR GUIOMARD,14604,Acre,2018
TARAUACÁ,18202,Acre,2018
XAPURI,9567,Acre,2018
